﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿자살|Suicide
복부비만|Triglyceride
사망률|Mortality
﻿만성 간질환|Chronic Liver disease
펜넬|Biphenyl dimethyl dicarboxylate
트랜스아미나제|Transaminase
임상 시험|Clinical trial
﻿다발성 골수종|Multiple myeloma
신부전|Renal insufficiency
위험인자|Risk factors
﻿간암|hepatocellular
퇴행|Neoplasm regression
림프구|spontaneous
Carcinoma|Lymphocytes
﻿﻿﻿﻿대동맥궁|Aorta
대동맥류|Aneurysm
스텐트|Stent
혈관 내 성형|Endovascular procedure
﻿﻿기관지 동맥|Bronchial artery
동맥류|Aneurysm
결핵|Tuberculosis
﻿그레이브스병|Graves` disease
무과립구증|Agranulocytosis
급성충수염|Acute appendicitis
﻿﻿급성 골수성 백혈병|Acute myeloid leukemia
조혈모세포이식|Stem cell transplantation
무형성 빈혈|Aplastic anemia
호중구 감소증|Neutropenia
항암화학요법|Chemotherapy
﻿﻿쯔쯔가무시병|Scrub typhus
폐렴|Pneumonia
뇌수막염|Meningitis
근육근막염|Fasciitis
﻿다발성 근염|Polymyositis
크레아틴키나아제|Creatine kinase
알돌라아제|Aldolase
﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿『서유견문|빈도
西遊見聞』|서구 문화
정부|Seoyugyeonmun
政府|government
교육|education. Structure of the text
敎育|lexical caregories
텍스트 구조|frequency
어휘 범주|western culture
﻿고유어 장기 명칭|Native Korean Words for the Internal Organs
다의화|polysemization
의미 전이|meaning transfer
곤용 표현|idiomatic expressions
추상화|Abstraction
﻿어휘부|lexicon
단어 분석|word analysis
단어 형성|word formation
형태 규칙|formal rules
의미 추론|meaning inference
유추|analogy
통합관계|syntagmatic relation
계열 관계|prardigmatic relation
﻿﻿문헌 신화|Mytholohy literature
단국신화|Dangun myth
웅녀|Japanese myth
이자나미|Woongnyu
모성|Izanami
모계 중심|Izanagi
부계 중심|patrilineal society
아마테라스|Amateras omikami
﻿사카가미 요시유키|문화사
坂上善之|Sakagami Yoshiyuki
『왜한의담|Wakanidan
倭韓醫談』|information exchange
정보교환|foreign exchange
대외교류|cultural history
﻿김수영|Kim Soo-Young
현실|reality
무|Nothing
無|無
개인|individual
사회연대|social solidarity
새로운 도시|a new city
욕망의 조화|harmony of desire
생활세계|life-world
﻿번안|adaptation
번역|translation
번역가|translator
번역문학|translated literature
산문시|prose poetry
일본문학|Japanese literature
중역|second-hand translation
진학문|Jin Hak-mun
타고르|Tagore
투르게네프|Turgenev
후타바테이 시메이|Hutabatei Simei
﻿﻿근대성|전략
전통성|modernity
세분화|traditional value
토속성의 이면|segmentation
접합과정|the other side of folk nature
교섭점|converging process
샤머니즘|negotiation point
점층적|shamanism
전근대성|gradual
환기|pre-modernity
병리학적|awakening
치유의 개념|pathological
우회적|co
﻿파생어|derivative
단어 형성|word formation
어근|root
접사|affix
어휘 교육|vocabulary education
﻿텍스트 구성 능력|text organization ability
텍스트성|textuality
결속성|coherence
이야기 구조|story structure
이야기 문법|story grammar
﻿말하기 교육|speaking education
글쓰기 교육|writing education
통합교육|the integration education of speaking and writing
발표|presentation
토론|debate
교양교육|general education
﻿평화통일 프로세스|Peaceful Unification Process
한반도 신뢰 프로세스|Korean Peninsula Trust Process
북핵|North Korean Nuclear
한중관계|Korea-China relation
지정학|geopolitical
지경학|geoeconomic
﻿북중경협|North Korean-Chinese economic cooperation
동북3성|the three northeastern provinces of China
한중협력|South Korean-Chinese cooperation
﻿한중 인문유대|Korea-China Humanities Ties
동아시아|East Asia
거대분단|macro-division
중도주의|Centrism
﻿통일의식|attitude toward reunification
남북관계|inter-korean relations
통일이익|reunification benefit
통일비용|reunification cost
사회통합|social integration
수용성|tolerance
배타성|exclusion
﻿독일 통일|unification of Germany
내적통일|inner unity
동독사 이해|history of East Gerrmany
역사 교육|history education
역사 교과서|history textbook
﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿개발도상국|Developing countries
공간정보기반|SDI
국가공간정보기반 구축모델|NSDI implementation model
국가공간정보기반 전략|NSDI strategies
조화된 NSDI추진방법|Harmonized SDI approach
﻿﻿공간정보산업|Spatial information industry
공간정보 보안관리|Spatial information security management
보안규제|Security Regulation
통합관리|Integrated Management
﻿﻿차량 내비게이션|Car Navigation
차량 내부 센서|In-vehicle Sensor
위치자세 결정|Position and Attitude Determination
캔통신|CAN Communications
﻿﻿지역사회 건강수준|Neighborhood Health Status
지역사회 비만도|Neighborhood Obesity
사회경제적 수준|Socio-Economic Status
주택 가격|Housing Price
﻿수질오염총량관리제|Total Maximum Daily Loads
수질모델 모식도|Schematic Diagram
한국형 Reach File|Korean Reach File
GIS|GIS
알고리듬|Algorithm
﻿﻿﻿﻿﻿﻿﻿﻿금속 용기|metal canister
생지화학적 부식|biogeochemical corrosion
구리|copper
황산염환원미생물|a sulfate-reducing bacterium
맥키나와이트|mackinawite
﻿﻿라우분지|Lau Basin
해저열수광상|seafloor hydrothermal deposit
열수변질|hydrothermal alteration
희토류원소|rare earth elements
미량원소|trace elements
﻿우백질|leucocratic
알카리|alkali
화강암류|granite
알바이트화|albitization
영운암화|greisenization
﻿탄산염질 암석|carbonate rock
백운암질 대리암|dolomitic marble
석조문화재|stone monument
산성비|acid rain
인공풍화시험|weathering simulation
﻿간극누적형 회장암|Intercumulated anorthosite
티탄철석광상|Ilmenite deposit
3차원 모델링|3D Modeling
평균품위|average grade
자원량 평가|Resource estimation
﻿홍천 카보나타이트-포스코라이트 복합체|Hongcheon carbonatite-phoscorite complex
자철석|magnetite
전자현미분석|electron microprobe analysis
광물화학|mineral chemistry
﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿싱가포르|FEZ Business
경제자유구역사업|Singapore
경제자유구역 추가지정|luring foreign investment
자본주의 경쟁시장|world-wide economy
기업유치|additional two more FEZs
﻿신제도주의|new institutionalism
지속가능발전|sustainable development
그린뉴딜|green new deal
공정사회|fair society
﻿﻿﻿리더십 유형|Leadership Style
조직효과성|Organizational Effectiveness
직무탈진|Job Burnout
업무성과|Job Performance
﻿공시지가|Public land price
실거래가격|Market price
현실화율|the realization rates
부동산시장|One-way ANOVA analysis
일원변량분산분석|Real estate market
﻿문화외교|Cultural Diplomacy
국가이미지|Country Image
해외문화예술행사|Public Diplomacy
국제교류재단|Korea Foundation
브라질|Brazil
﻿일반구|Non-Autonomous Borough
행정구|Administrative Borough
용인시|Yongin City
﻿유연근무제|Flexible Work Schedule
일과 삶의 균형|Reform Value
직무만족|WLB
이직의도|Job Satisfaction
조직 내 개혁가치|Turnover Intension
﻿스마트사회|Cyberspace
가상공간|Smart Society
컴퓨터범죄|SSN
개인정보보호|Computer Crime
시스템보안대책|System Security
﻿위탁|Contracting-Out
위탁성과|Contracting Performance
비용효과|Service Delivery Cost
품질효과|Service Quality
위탁관리|ontracting Management
﻿구미국가산업단지|Gumi National Industrial Complex
산학연관협동사업|Industry-University-Research Institute-Government(IURG) Joint Business
네트워크구조특성|Structures and Characteris- tics of Networks
산업정책|Industry Policy
UCINET분석|UCINET Analysis
﻿시민태도|Citizen attitude
정부신뢰|trust in government
정부평가|evaluation of government
﻿장애인거주시설 의무이행|Fulfillment of obligations of residential for the disabled
자립의지|Self-reliance
신변 자립의지|Personal self-reliance
심리적 자립의지|Psychological self-reliance
사회적 자립의지|Social self-reliance
﻿촌민위원회|village election
절차적 민주주의|procedural democratization
선거과정|electoral process
정치참여|political participation
선거민주주의|electoral democracy
﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿『삼운통고|중국 근대어
三韻通考』 |신문명
『훈몽자회|『Samuoontogo』 
訓蒙字會』|『Hoonmongjahul』 
『전운옥편|『Junuoonokpyon』 
全韻玉篇』 |『Hanhandaisajun』 
『한한대사전|The ranslation ords for the Buddhist scriptures
漢韓大辭典』|The translation words for the modern Chinese
불경 번역|The new c
﻿학습용사전|표제어
學習用辭典|標題語
자전|자해
字典|字解
옥편|dictionary for arning
玉篇|Jaseon
사전|Okpyeon,Sajeon
辭典|head-character
표제자|headword
標題字|character nterpretation
﻿﻿사전|Dictionary
자전|Chinese character dictionary
학습자전|learning-Chinese character dictionary
옥편소송|Lawsuit about Chinese character dictionary
종이자전|Paper inese haracter dictionary
디지털 자전|Digital Chinese character dictionary
﻿﻿자의|이음이의
字義 |異音異義 
의미항|letter meaning
意味項 |semantic unit
이중어사전|bilingual dictionary
일자다의|polysemic character
一字多義 |heteronymy
﻿한문 용례|examples
